ID: 1 | Unit: B-5-15 | Status: vacant
ID: 108 | Unit: C-1-7 | Status: vacant
ID: 109 | Unit: C-1-8 | Status: vacant
ID: 110 | Unit: C-1-9 | Status: vacant
ID: 111 | Unit: C-1-10 | Status: occupied
ID: 112 | Unit: C-1-11 | Status: occupied
ID: 113 | Unit: C-1-12 | Status: occupied
ID: 114 | Unit: C-1-13 | Status: occupied
ID: 115 | Unit: C-1-13A | Status: occupied
ID: 116 | Unit: C-1-15 | Status: vacant
ID: 117 | Unit: C-1-16 | Status: vacant
ID: 118 | Unit: C-1-17 | Status: vacant
ID: 119 | Unit: C-2-1 | Status: occupied
ID: 120 | Unit: C-2-2 | Status: occupied
ID: 121 | Unit: Parking floor | Status: vacant
ID: 122 | Unit: Parking lot | Status: vacant
ID: 123 | Unit: C-0-1-AP | Status: vacant
ID: 124 | Unit: C-0-2-AP | Status: vacant
ID: 125 | Unit: C-0-3-AP | Status: vacant
ID: 126 | Unit: C-0-4-AP | Status: vacant
ID: 127 | Unit: C-0-5-AP | Status: vacant
ID: 128 | Unit: C-0-AP4 | Status: vacant
ID: 129 | Unit: C-0-AP5 | Status: vacant
ID: 130 | Unit: C-0-6-AP | Status: vacant
ID: 131 | Unit: C-0-7-AP | Status: vacant
ID: 132 | Unit: C-0-8-AP | Status: vacant
ID: 133 | Unit: C-0-9-AP | Status: vacant
ID: 134 | Unit: C-0-10-AP | Status: vacant
ID: 135 | Unit: C-0-11-AP | Status: vacant
ID: 136 | Unit: C-0-12-AP | Status: vacant
ID: 137 | Unit: C-0-13-AP | Status: occupied
ID: 138 | Unit: C-0-13A-AP | Status: occupied
ID: 139 | Unit: C-0-15-AP | Status: vacant
ID: 140 | Unit: C-0-16-AP | Status: occupied
ID: 141 | Unit: C-0-17-AP | Status: vacant
ID: 142 | Unit: C-0-18-AP | Status: vacant
ID: 143 | Unit: C-0-19-AP | Status: vacant
ID: 144 | Unit: C-1-AP1 | Status: vacant
ID: 145 | Unit: 0-1 | Status: vacant
ID: 146 | Unit: 1-1 | Status: vacant
ID: 147 | Unit: 2-1 | Status: vacant
ID: 148 | Unit: 3-1 | Status: vacant
ID: 149 | Unit: 0-2 | Status: vacant
ID: 150 | Unit: 1-2 | Status: occupied
ID: 151 | Unit: 2-2 | Status: vacant
ID: 152 | Unit: 3-2 | Status: vacant
ID: 153 | Unit: 1-3 | Status: occupied
ID: 154 | Unit: 2-3 | Status: vacant
ID: 155 | Unit: 3-3 | Status: vacant
ID: 156 | Unit: 1-3A | Status: occupied
ID: 157 | Unit: 2-3A | Status: vacant
ID: 158 | Unit: 3-3A | Status: vacant
ID: 159 | Unit: 0-5 | Status: occupied
ID: 160 | Unit: 1-5 | Status: occupied
ID: 161 | Unit: 0-7 | Status: occupied
ID: 162 | Unit: B-1 | Status: vacant
ID: 163 | Unit: 1-3-7B | Status: vacant
ID: 164 | Unit: 1-3-7A | Status: vacant
ID: 165 | Unit: 3-B7-3 | Status: vacant
ID: 166 | Unit: Lot 30 | Status: vacant
ID: 167 | Unit: Lot 16,  B-1-4 | Status: vacant
ID: 168 | Unit: Lot 16, B-0-4 | Status: occupied
ID: 169 | Unit: Lot 17,  B-1-5 | Status: occupied
ID: 170 | Unit: Lot 17, B-0-5 | Status: vacant
ID: 171 | Unit: Lot 18,  B-1-6 | Status: occupied
ID: 172 | Unit: Lot 18, B-0-6 | Status: occupied
ID: 173 | Unit: Lot 19,  B-1-7 | Status: vacant
ID: 174 | Unit: Lot 19, B-0-7 | Status: occupied
ID: 175 | Unit: Lot 20,  B-1-8 | Status: occupied
ID: 176 | Unit: Lot 20, B-0-8 | Status: occupied
ID: 177 | Unit: Lot 22,  B-1-10 | Status: vacant
ID: 178 | Unit: Lot 22, B-0-10 | Status: vacant
ID: 179 | Unit: Lot 23,  B-1-11 | Status: occupied
ID: 180 | Unit: Lot 23, B-0-11 | Status: occupied
ID: 181 | Unit: Lot 49,  E-1-3 | Status: vacant
ID: 182 | Unit: Lot 49, E-0-3 | Status: vacant
ID: 183 | Unit: Lot 50,  E-1-4 | Status: vacant
ID: 184 | Unit: Lot 50, E-0-4 | Status: vacant
ID: 185 | Unit: Lot 54,  E-1-8 | Status: occupied
ID: 186 | Unit: Lot 54, E-0-8 | Status: vacant
ID: 187 | Unit: Lot 55,  E-1-9 | Status: occupied
ID: 188 | Unit: Lot 55, E-0-9 | Status: occupied
ID: 189 | Unit: Lot 61,  F-1-3 | Status: vacant
ID: 190 | Unit: Lot 61, F-0-3 | Status: vacant
ID: 191 | Unit: Lot 62,  F-1-4 | Status: vacant
ID: 192 | Unit: Lot 62, F-0-4 | Status: vacant
ID: 193 | Unit: Lot 63,  F-1-5 | Status: vacant
ID: 194 | Unit: Lot 63, F-0-5 | Status: vacant
ID: 195 | Unit: Lot 64,  F-1-6 | Status: vacant
ID: 196 | Unit: Lot 64, F-0-6 | Status: vacant
ID: 197 | Unit: Lot 70,  G-1-12 | Status: occupied
ID: 198 | Unit: Lot 70, G-0-12 | Status: occupied
ID: 199 | Unit: Lot 71,  G-1-11 | Status: vacant
ID: 200 | Unit: Lot 71, G-0-11 | Status: occupied
ID: 201 | Unit: Lot 73,  G-1-9 | Status: occupied
ID: 202 | Unit: Lot 73, G-0-9 | Status: vacant
ID: 203 | Unit: Lot 74,  G-1-8 | Status: vacant
ID: 204 | Unit: Lot 74, G-0-8 | Status: vacant
ID: 205 | Unit: Lot 82,  H-1-1 | Status: occupied
ID: 206 | Unit: Lot 82, H-0-1 | Status: occupied
ID: 207 | Unit: Lot 83,  H-1-2 | Status: occupied
ID: 208 | Unit: Lot 83, H-0-2 | Status: occupied
ID: 209 | Unit: Lot 84,  H-1-3 | Status: occupied
ID: 210 | Unit: Lot 84, H-0-3 | Status: occupied
ID: 211 | Unit: Lot 85,  H-1-4 | Status: occupied
ID: 212 | Unit: Lot 85, H-0-4 | Status: occupied
ID: 213 | Unit: Lot 86,  H-1-5 | Status: vacant
ID: 214 | Unit: Lot 86, H-0-5 | Status: occupied
ID: 215 | Unit: SH13-1-0 | Status: vacant
ID: 216 | Unit: SH13-3-0 | Status: vacant
ID: 217 | Unit: SH13-5-0 | Status: vacant
ID: 218 | Unit: SH13-6-0 | Status: occupied
ID: 219 | Unit: SH13-7-0 | Status: vacant
ID: 220 | Unit: P5-1 | Status: vacant
ID: 221 | Unit: P5-2 | Status: vacant
ID: 222 | Unit: P5-3 | Status: vacant
ID: 223 | Unit: P5-4 | Status: vacant
ID: 224 | Unit: P5-5 | Status: vacant
ID: 225 | Unit: P5-6 | Status: vacant
ID: 226 | Unit: Senja-1 | Status: vacant
